Time,Position_x,Position_y,Position_z,Target_x,Target_y,Target_z
[0.],0.0,0.0,0.0,0.0,0.0,0.0
[0.002],0.0,0.0,0.0,0.6,0.0,0.0
[0.004],0.0,0.0,0.0,0.5999991577939549,0.0010053091787720987,0.0
[0.006],0.0,0.0,0.0,0.5999966311781836,0.0020106155352859717,0.0
[0.008],0.0,0.0,0.0,0.5999924201597794,0.003015916247291317,0.0
[0.01],0.0,0.0,0.0,0.5999865247505642,0.0040212084925536785,0.0
[0.012],0.0,0.0,0.0,0.5999789449670884,0.005026489448862367,0.0
[0.014],0.0,0.0,0.0,0.5999696808306311,0.006031756294038391,0.0
[0.016],0.0,0.0,0.0,0.5999587323672,0.007037006205942368,0.0
[0.018],0.3360865741726988,-0.29341613680644385,0.0,0.5999460996075314,0.008042236362482455,0.0
[0.02],0.3360865741726988,-0.29341613680644385,0.0,0.5999317825870898,0.009047443941622272,0.0
[0.022],0.3360865741726988,-0.29341613680644385,0.0,0.5999157813460682,0.010052626121388818,0.0
[0.024],0.3360865741726988,-0.29341613680644385,0.0,0.5998980959293878,0.0110577800798804,0.0
[0.026],0.3360865741726988,-0.29341613680644385,0.0,0.5998787263866978,0.01206290299527455,0.0
[0.028],0.3360865741726988,-0.29341613680644385,0.0,0.5998576727723752,0.013067992045835948,0.0
[0.03],0.3360865741726988,-0.29341613680644385,0.0,0.5998349351455251,0.014073044409924346,0.0
[0.032],0.3360865741726988,-0.29341613680644385,0.0,0.5998105135699799,0.015078057266002491,0.0
[0.034],0.3360865741726988,-0.29341613680644385,0.0,0.5997844081142999,0.01608302779264404,0.0
[0.036],0.3360865741726988,-0.29341613680644385,0.0,0.599756618851772,0.017087953168541482,0.0
[0.038],0.3360865741726988,-0.29341613680644385,0.0,0.5997271458604106,0.018092830572514058,0.0
[0.04],0.3360865741726988,-0.29341613680644385,0.0,0.599695989222957,0.019097657183515696,0.0
[0.042],0.3360865741726988,-0.29341613680644385,0.0,0.5996631490268786,0.020102430180642904,0.0
[0.044],0.3360865741726988,-0.29341613680644385,0.0,0.5996286253643694,0.021107146743142704,0.0
[0.046],0.3360865741726988,-0.29341613680644385,0.0,0.59959241833235,0.02211180405042056,0.0
[0.048],0.3360865741726988,-0.29341613680644385,0.0,0.5995545280324659,0.02311639928204828,0.0
[0.05],0.3360865741726988,-0.29341613680644385,0.0,0.5995149545710886,0.02412092961777193,0.0
[0.052],0.3360865741726988,-0.29341613680644385,0.0,0.599473698059315,0.02512539223751979,0.0
[0.054],0.3360865741726988,-0.29341613680644385,0.0,0.5994307586129666,0.026129784321410214,0.0
[0.056],0.3360865741726988,-0.29341613680644385,0.0,0.5993861363525895,0.02713410304975958,0.0
[0.058],0.3360865741726988,-0.29341613680644385,0.0,0.5993398314034544,0.028138345603090226,0.0
[0.06],0.3360865741726988,-0.29341613680644385,0.0,0.5992918438955553,0.0291425091621383,0.0
[0.062],0.3360865741726988,-0.29341613680644385,0.0,0.5992421739636105,0.03014659090786175,0.0
[0.064],0.3360865741726988,-0.29341613680644385,0.0,0.5991908217470608,0.031150588021448187,0.0
[0.066],0.3360865741726988,-0.29341613680644385,0.0,0.5991377873900702,0.032154497684322804,0.0
[0.068],0.3360865741726988,-0.29341613680644385,0.0,0.5990830710415246,0.033158317078156335,0.0
[0.07],0.3360865741726988,-0.29341613680644385,0.0,0.5990266728550324,0.03416204338487288,0.0
[0.072],0.3360865741726988,-0.29341613680644385,0.0,0.5989685929889231,0.035165673786657914,0.0
[0.074],0.3360865741726988,-0.29341613680644385,0.0,0.5989088316062476,0.03616920546596614,0.0
[0.076],0.3360865741726988,-0.29341613680644385,0.0,0.5988473888747771,0.037172635605529365,0.0
[0.078],0.3360865741726988,-0.29341613680644385,0.0,0.598784264967003,0.03817596138836452,0.0
[0.08],0.3360865741726988,-0.29341613680644385,0.0,0.5987194600601365,0.03917917999778148,0.0
[0.082],0.3360865741726988,-0.29341613680644385,0.0,0.598652974336108,0.04018228861739096,0.0
[0.084],0.3360865741726988,-0.29341613680644385,0.0,0.5985848079815661,0.041185284431112495,0.0
[0.086],0.3360865741726988,-0.29341613680644385,0.0,0.5985149611878782,0.042188164623182305,0.0
[0.088],0.3360865741726988,-0.29341613680644385,0.0,0.5984434341511287,0.04319092637816117,0.0
[0.09],0.3360865741726988,-0.29341613680644385,0.0,0.5983702270721193,0.04419356688094239,0.0
[0.092],0.3360865741726988,-0.29341613680644385,0.0,0.5982953401563683,0.045196083316759665,0.0
[0.094],0.3360865741726988,-0.29341613680644385,0.0,0.5982187736141097,0.04619847287119496,0.0
[0.096],0.3360865741726988,-0.29341613680644385,0.0,0.5981405276602928,0.047200732730186504,0.0
[0.098],0.3360865741726988,-0.29341613680644385,0.0,0.5980606025145816,0.04820286008003657,0.0
[0.1],0.3360865741726988,-0.29341613680644385,0.0,0.5979789984013544,0.04920485210741944,0.0
[0.102],0.3360865741726988,-0.29341613680644385,0.0,0.5978957155497026,0.05020670599938933,0.0
[0.104],0.3360865741726988,-0.29341613680644385,0.0,0.5978107541934307,0.051208418943388206,0.0
[0.106],0.3360865741726988,-0.29341613680644385,0.0,0.5977241145710552,0.05220998812725375,0.0
[0.108],0.3360865741726988,-0.29341613680644385,0.0,0.5976357969258044,0.05321141073922723,0.0
[0.11],0.3360865741726988,-0.29341613680644385,0.0,0.5975458015056168,0.05421268396796138,0.0
[0.112],0.3360865741726988,-0.29341613680644385,0.0,0.5974541285631414,0.05521380500252833,0.0
