Time,Velocity_x,Velocity_y,Velocity_z
[9.126],-0.15882009739692843,0.22917546744864045,0.0
[9.128],-0.15932040562447433,0.22912695465642488,0.0
[9.13],-0.15982063186582393,0.2290776036582166,0.0
[9.132],-0.16032077471666512,0.22902741459256126,0.0
[9.134],-0.16082083277291986,0.22897638760035752,0.0
[9.136],-0.16132080463074894,0.22892452282485598,0.0
[9.138],-0.15997638033069594,0.22708475317610333,0.0
[9.14],-0.16047629070801434,0.2270322991180308,0.0
[9.142],-0.16097611249604316,0.22697900752610212,0.0
[9.144],-0.16147584429160652,0.22692487854992544,0.0
[9.146],-0.16197548469178008,0.22686991234146006,0.0
[9.148],-0.1624750322938971,0.2268141090550154,0.0
[9.15],-0.16297448569555065,0.22675746884725115,0.0
[9.152],-0.1634738434945983,0.22669999187717643,0.0
[9.154],-0.16397310428916656,0.2266416783061492,0.0
[9.156],-0.16447226667765352,0.22658252829787662,0.0
[9.158],-0.16324042439534,0.224678733643207,0.0
[9.16],-0.16373948854007764,0.22461876037419548,0.0
[9.162],-0.16423845149816108,0.22455795099975784,0.0
[9.164],-0.16473731186882448,0.2244963056906076,0.0
[9.166],-0.1652360682515909,0.22443382461980474,0.0
[9.168],-0.16573471924627436,0.22437050796275587,0.0
[9.17],-0.16623326345298575,0.22430635589721323,0.0
[9.172],-0.16673169947213506,0.22424136860327426,0.0
[9.174],-0.16723002590443586,0.22417554626338126,0.0
[9.176],-0.16772824135091025,0.2241088890623209,0.0
[9.178],-0.16660397401311447,0.22212959880549255,0.0
[9.18],-0.16710204898111064,0.22206189991470024,0.0
[9.182],-0.16760000981944312,0.22199336658670693,0.0
[9.184],-0.1680978551301604,0.22192399901390983,0.0
[9.186],-0.16859558351563403,0.22185379739104824,0.0
[9.188],-0.1690931935785652,0.22178276191520294,0.0
[9.19],-0.16959068392198595,0.22171089278579564,0.0
[9.192],-0.17008805314926553,0.2216381902045884,0.0
[9.194],-0.1705852998641125,0.22156465437568298,0.0
[9.196],-0.17108242267057927,0.22149028550552063,0.0
[9.198],-0.17014459961368583,0.21936242881852538,0.0
[9.2],-0.17064153470128166,0.21928681577550518,0.0
[9.202],-0.1711383424005312,0.21921037021627984,0.0
[9.204],-0.17163502131671915,0.21913309235545922,0.0
[9.206],-0.17213157005549268,0.2190549824099894,0.0
[9.208],-0.17262798722286354,0.2189760405991528,0.0
[9.21],-0.17312427142521364,0.21889626714456678,0.0
[9.212],-0.1736204212692974,0.21881566227018379,0.0
[9.214],-0.1741164353622473,0.21873422620229013,0.0
[9.216],-0.17461231231157623,0.21865195916950564,0.0
[9.218],-0.17358821172089145,0.21659467895947282,0.0
[9.22],-0.1740838390499955,0.2165109211884657,0.0
[9.222],-0.1745793253459721,0.2164263331038554,0.0
[9.224],-0.17507466921781656,0.2163409149431106,0.0
[9.226],-0.17556986927492307,0.2162546669460303,0.0
[9.228],-0.17606492412709052,0.21616758935474306,0.0
